Symbol,Name,Sector
AAPL,Apple Inc,Information Technology
MSFT,Microsoft Corp,Information Technology
AMZN,Amazon.com Inc,Consumer Discretionary
NVDA,NVIDIA Corp,Information Technology
GOOGL,Alphabet Inc Class A,Communication Services
GOOG,Alphabet Inc Class C,Communication Services
META,Meta Platforms Inc,Communication Services
BRK-B,Berkshire Hathaway Inc Class B,Financials
LLY,Eli Lilly and Co,Health Care
AVGO,Broadcom Inc,Information Technology
JPM,JPMorgan Chase & Co,Financials
TSLA,Tesla Inc,Consumer Discretionary
UNH,UnitedHealth Group Inc,Health Care
XOM,Exxon Mobil Corp,Energy
V,Visa Inc,Financials
MA,Mastercard Inc,Financials
PG,Procter & Gamble Co,Consumer Staples
JNJ,Johnson & Johnson,Health Care
COST,Costco Wholesale Corp,Consumer Staples
HD,Home Depot Inc,Consumer Discretionary
ABBV,AbbVie Inc,Health Care
MRK,Merck & Co Inc,Health Care
WMT,Walmart Inc,Consumer Staples
CRM,Salesforce Inc,Information Technology
BAC,Bank of America Corp,Financials
NFLX,Netflix Inc,Communication Services
ORCL,Oracle Corp,Information Technology
CVX,Chevron Corp,Energy
AMD,Advanced Micro Devices Inc,Information Technology
KO,Coca-Cola Co,Consumer Staples
TMO,Thermo Fisher Scientific Inc,Health Care
LIN,Linde PLC,Materials
PEP,PepsiCo Inc,Consumer Staples
ACN,Accenture PLC,Information Technology
ADBE,Adobe Inc,Information Technology
MCD,McDonald's Corp,Consumer Discretionary
CSCO,Cisco Systems Inc,Information Technology
ABT,Abbott Laboratories,Health Care
PM,Philip Morris International Inc,Consumer Staples
WFC,Wells Fargo & Co,Financials
DHR,Danaher Corp,Health Care
IBM,International Business Machines Corp,Information Technology
TXN,Texas Instruments Inc,Information Technology
GE,GE Aerospace,Industrials
QCOM,Qualcomm Inc,Information Technology
INTU,Intuit Inc,Information Technology
NOW,ServiceNow Inc,Information Technology
CAT,Caterpillar Inc,Industrials
AMGN,Amgen Inc,Health Care
ISRG,Intuitive Surgical Inc,Health Care
DIS,Walt Disney Co,Communication Services
VZ,Verizon Communications Inc,Communication Services
AMAT,Applied Materials Inc,Information Technology
GS,Goldman Sachs Group Inc,Financials
BKNG,Booking Holdings Inc,Consumer Discretionary
AXP,American Express Co,Financials
T,AT&T Inc,Communication Services
SPGI,S&P Global Inc,Financials
BLK,BlackRock Inc,Financials
LOW,Lowe's Cos Inc,Consumer Discretionary
